OrderID,CustomerID,ProductID,Quantity,Price,OrderDate
1000,C3610,P046,2,1326.5,2024-10-24
1001,C1148,P058,4,719.42,2024-07-14
1002,C0116,P092,3,1282.1,2024-09-08
1002,C0116,P035,4,1842.55,2024-09-08
1003,C1451,P036,1,146.93,2024-08-07
1004,C1517,P007,1,450.84,2024-08-16
1005,C2910,P063,3,412.18,2024-07-17
1006,C1769,P002,1,1129.61,2024-08-10
1007,C2742,P098,3,538.79,2025-02-14
1008,C4413,P089,3,1395.91,2025-02-04
1009,C1078,P026,3,726.13,2025-01-27
1010,C0082,P002,5,1129.61,2024-09-12
1011,C0986,P060,4,1738.41,2024-03-18
1012,C3985,P052,4,1907.98,2024-10-11
1013,C1689,P096,1,563.11,2024-10-09
1013,C1689,P004,1,87.13,2024-10-09
1014,C1013,P067,2,1609.69,2024-12-15
1015,C4047,P090,5,607.87,2024-12-24
1016,C0031,P037,3,868.64,2024-08-25
1016,C0031,P023,5,1092.82,2024-08-25
1017,C0491,P089,2,1395.91,2024-08-06
1018,C2382,P005,4,1800.32,2024-09-16
1019,C0513,P039,1,1722.52,2024-05-15
1020,C2497,P015,3,1282.78,2024-09-25
1020,C2497,P035,2,1842.55,2024-09-25
1021,C0695,P045,3,323.85,2025-01-10
1022,C0945,P020,4,67.25,2024-05-02
1022,C0945,P028,2,1599.27,2024-05-02
1023,C4934,P034,1,1576.36,2024-06-22
1024,C1138,P070,4,1614.34,2024-04-06
1024,C1138,P009,5,395.74,2024-04-06
1025,C3712,P015,1,1282.78,2024-12-28
1026,C2322,P019,3,1620.68,2025-01-31
1027,C1649,P024,5,1321.14,2024-09-21
1027,C1649,P077,2,1818.48,2024-09-21
1028,C0329,P058,1,719.42,2024-05-08
1029,C3315,P091,5,1617.44,2024-06-17
1030,C3413,P047,2,821.22,2025-01-13
1031,C0967,P008,4,45.7,2024-08-23
1032,C2286,P023,4,1092.82,2024-07-24
1033,C0485,P078,2,28.99,2024-06-30
1034,C2932,P099,5,1677.0,2024-03-02
1035,C0985,P076,5,1039.99,2024-12-31
1035,C0985,P037,2,868.64,2024-12-31
1036,C3797,P023,1,1092.82,2024-12-11
1037,C3248,P004,2,87.13,2024-03-25
1038,C1206,P006,2,1620.52,2024-05-27
1039,C3542,P017,2,1345.32,2024-12-03
1039,C3542,P097,5,1931.49,2024-12-03
1040,C3289,P035,3,1842.55,2024-09-03
1041,C0601,P060,2,1738.41,2024-03-08
1041,C0601,P053,5,452.77,2024-03-08
1042,C2382,P045,5,323.85,2024-05-14
1043,C2756,P048,4,1339.54,2025-02-22
1043,C2756,P067,5,1609.69,2025-02-22
1044,C1463,P085,3,96.51,2024-12-10
1044,C1463,P053,1,452.77,2024-12-10
1045,C4997,P011,1,949.57,2025-01-19
1046,C4860,P053,4,452.77,2024-05-17
1046,C4860,P067,3,1609.69,2024-05-17
1047,C1258,P045,2,323.85,2024-11-29
1048,C0592,P093,5,855.03,2025-01-19
1049,C2010,P078,2,28.99,2024-05-07
1050,C4385,P100,5,670.06,2025-02-25
1050,C4385,P015,5,1282.78,2025-02-25
1051,C3317,P059,2,522.61,2024-12-10
1052,C1671,P064,4,1837.04,2024-12-23
1052,C1671,P076,1,1039.99,2024-12-23
1053,C1994,P039,1,1722.52,2024-10-29
1054,C0728,P002,2,1129.61,2024-10-31
1054,C0728,P054,4,944.4,2024-10-31
1055,C0118,P080,5,1458.34,2024-05-09
1056,C1191,P068,2,383.14,2024-05-28
1057,C1856,P086,3,1024.19,2025-02-24
1058,C4388,P066,1,540.06,2024-04-27
1059,C2712,P080,4,1458.34,2025-02-21
1059,C2712,P071,4,1701.85,2025-02-21
1060,C2349,P070,1,1614.34,2025-01-03
1060,C2349,P095,3,405.92,2025-01-03
1061,C3494,P078,4,28.99,2024-05-06
1062,C4358,P071,5,1701.85,2024-12-06
1062,C4358,P057,1,421.0,2024-12-06
1063,C1117,P016,5,1859.7,2024-11-04
1064,C2040,P020,5,67.25,2024-03-17
1064,C2040,P067,5,1609.69,2024-03-17
1065,C3621,P077,2,1818.48,2024-09-19
1066,C4057,P060,3,1738.41,2024-07-24
1067,C3753,P084,4,1190.45,2024-11-27
1068,C2190,P036,2,146.93,2024-04-05
1069,C0065,P088,5,508.83,2024-11-16
1070,C2311,P024,3,1321.14,2024-07-24
1071,C3850,P085,1,96.51,2024-11-15
1072,C2330,P077,4,1818.48,2024-11-19
1073,C4205,P063,4,412.18,2024-03-07
1073,C4205,P095,2,405.92,2024-03-07
1074,C4517,P090,2,607.87,2024-03-24
1075,C0870,P094,1,1565.39,2024-11-17
1076,C1916,P095,2,405.92,2024-04-10
1077,C4368,P044,4,1598.27,2024-04-17
1077,C4368,P098,1,538.79,2024-04-17
1078,C2969,P078,4,28.99,2024-06-23
1079,C3524,P073,2,1244.81,2024-12-26
1080,C3433,P004,1,87.13,2024-12-26
1081,C2471,P018,2,833.09,2024-09-03
1082,C2367,P017,4,1345.32,2024-10-09
1083,C3132,P032,3,1718.58,2024-07-14
1084,C4824,P097,3,1931.49,2024-08-04
1084,C4824,P038,4,992.35,2024-08-04
1085,C1312,P004,2,87.13,2024-07-08
1086,C0625,P090,4,607.87,2024-07-15
1087,C4897,P007,4,450.84,2024-08-01
1088,C0370,P091,3,1617.44,2024-04-24
1088,C0370,P052,1,1907.98,2024-04-24
1089,C1455,P009,3,395.74,2024-08-27
1090,C3400,P088,2,508.83,2024-12-31
1091,C3638,P098,2,538.79,2024-12-01
1092,C1250,P038,5,992.35,2024-04-19
1092,C1250,P059,2,522.61,2024-04-19
1093,C4013,P011,2,949.57,2024-04-12
1093,C4013,P070,3,1614.34,2024-04-12
1094,C3812,P003,4,1055.24,2024-09-11
1095,C3318,P075,4,739.57,2024-05-25
1096,C3093,P058,5,719.42,2024-06-16
1096,C3093,P081,1,447.89,2024-06-16
1097,C3042,P041,3,1742.41,2024-04-04
1098,C2805,P041,1,1742.41,2025-01-27
1098,C2805,P049,2,1409.71,2025-01-27
1099,C0320,P096,5,563.11,2025-02-16
